point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
109,0.8844307630743014,0.7,0.811532225309018,0.8222606033947679,0.7737723052297205,1,0,2.0,2.0
110,0.8981097947121186,0.7033333333333334,0.8227644728948511,0.8389306976007556,0.7825424276273727,1,0,2.0,2.0
111,0.8864950548901117,0.7166666666666667,0.8235926876449584,0.8255788151207102,0.7902589682301595,1,0,2.0,2.0
112,0.9064414361130242,0.73,0.8488359804052991,0.8691735736644828,0.8111630606119911,1,0,2.0,2.0
113,0.8696048694407794,0.6933333333333334,0.7875428068814583,0.8102381007956634,0.7614916606282125,1,0,2.0,3.0
114,0.874570323578745,0.6833333333333333,0.8092141756530827,0.8471067812248255,0.7534535630899843,1,0,2.0,3.0
115,0.866970498893127,0.67,0.7779776931581613,0.8352816746612288,0.7369699696236632,1,0,2.0,3.0
116,0.8504882707355976,0.6733333333333333,0.733250138335988,0.8186708469453411,0.7347470449661182,1,0,2.0,3.0
117,0.8194319152805958,0.5733333333333334,0.6553792338575912,0.720062656636236,0.6094277920189318,1,0,2.0,3.0
118,0.8377071310343516,0.62,0.6920626818809354,0.7453232273783812,0.6722497114482444,1,0,2.0,3.0
119,0.8638380957724778,0.6466666666666666,0.7453842342605383,0.8077032809721929,0.7103702858710379,1,0,2.0,3.0
120,0.8750707018586723,0.7233333333333334,0.7783718952034866,0.8602269988360092,0.7911093579413182,1,0,2.0,3.0
121,0.8798991282391008,0.69,0.7829024351470806,0.8184784038358286,0.7621616687308582,1,0,3.0,3.0
122,0.8915506371379436,0.7366666666666667,0.791066989113282,0.8314518968933179,0.8099784126897378,1,0,3.0,3.0
123,0.908985328344243,0.73,0.8315828225564936,0.8933832088285528,0.8123332510383517,1,0,3.0,3.0
124,0.930337223169347,0.7533333333333333,0.8552190306207869,0.8893028454467897,0.8430153041835802,1,0,3.0,3.0
125,0.9210238145625269,0.7566666666666667,0.8371568721492855,0.8572474781887481,0.8410366692532083,1,0,3.0,3.0
126,0.9066134346684421,0.7566666666666667,0.8310181170958371,0.8347559550643652,0.8336393409075781,1,0,3.0,3.0
127,0.8654361947246187,0.6966666666666667,0.7729471702887649,0.8260615044921006,0.7630493477027944,1,0,3.0,4.0
128,0.871079504239096,0.63,0.7838781018964667,0.8126140979489389,0.6926806711021649,1,0,3.0,4.0
129,0.8747923213288249,0.6433333333333333,0.8040614045507162,0.8506838791404923,0.7096849098920408,1,0,3.0,4.0
130,0.8704944199957161,0.7066666666666667,0.7789918081757221,0.8406239212983678,0.7743821380426738,1,0,3.0,4.0
131,0.8754860376017566,0.68,0.7878393550628114,0.8225166798427088,0.7503749735366324,1,0,3.0,4.0
132,0.8771357668094515,0.6666666666666666,0.7954578640598358,0.816854356911438,0.7368230333809282,1,0,4.0,4.0
133,0.8903431347532491,0.6766666666666666,0.8061055556112341,0.8295141831749236,0.7521656853905925,1,0,4.0,4.0
134,0.8795275029156304,0.7066666666666667,0.8071931836077976,0.8195672779951836,0.7781158123162384,1,0,4.0,4.0
135,0.896860255894062,0.7233333333333334,0.8463459835707497,0.8840646379525763,0.8008420254104589,1,0,4.0,4.0
136,0.8821431749212365,0.72,0.8187462881086476,0.822781230130644,0.791342996965344,1,0,4.0,4.0
137,0.9074173103793762,0.74,0.846188908503109,0.8347975075683214,0.8203603089821006,1,0,4.0,4.0
