point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
50,0.43015706019552535,0.53,0.5878531229071835,0.6847534631110752,0.5240094236117315,0,0,4.0,4.0
51,0.4413012392382538,0.45333333333333337,0.6006341155488454,0.8226348047670705,0.4522103378844593,0,0,5.0,4.0
52,0.4305683038066752,0.43333333333333335,0.6439547777607597,0.8593809367642821,0.43296466272977896,0,0,5.0,4.0
53,0.44640168189241625,0.4933333333333333,0.6528603119915164,0.7600900843674587,0.49270757798078774,0,0,5.0,4.0
54,0.4791271619794135,0.5166666666666666,0.6437533886039541,0.6618829740470925,0.5154153498437581,0,0,5.0,4.0
55,0.45232465553119483,0.52,0.6660006643722434,0.8428394273990595,0.5172929862212478,0,0,5.0,4.0
56,0.42916658561416776,0.45333333333333337,0.6853140956049705,0.8343075663219022,0.4510777702128779,0,0,5.0,4.0
57,0.45232465553119494,0.52,0.6869488756258967,0.8303533321801628,0.5172929862212478,0,0,5.0,4.0
58,0.42916658561416776,0.4733333333333334,0.7069285231430061,0.838510497289359,0.4709777734549779,0,0,5.0,4.0
59,0.6138645598318343,0.6799999999999999,0.8634902770056317,0.9262122369565826,0.6561912415394603,1,0,0.0,0.0
60,0.5968066891774374,0.7033333333333334,0.8206519849226002,0.8821419314911655,0.660012498043269,1,0,0.0,0.0
61,0.5690616136901248,0.6833333333333333,0.769335041165364,0.8480274081044151,0.6414337027974901,1,0,0.0,0.0
62,0.5320234632322518,0.62,0.693166176618168,0.6184144970915135,0.5988856311757405,1,0,0.0,0.0
63,0.5478313633424531,0.6433333333333333,0.7391542591292648,0.8376326181988247,0.6159561019359476,1,0,0.0,0.0
64,0.5713722732989391,0.6466666666666667,0.7770119022316152,0.7897094380146974,0.6245803112788,1,0,0.0,0.0
65,0.49970878746416736,0.5066666666666666,0.6895568336113782,0.6435707570655353,0.5065738949439667,1,0,0.0,1.0
66,0.4925299373619235,0.5966666666666667,0.725019440765633,0.8387876030639823,0.5765335656677497,1,0,0.0,1.0
67,0.503120278523882,0.5433333333333333,0.7012627424792094,0.6447152175410349,0.5398482019165142,1,0,0.0,1.0
68,0.493116408006259,0.53,0.7401890913023261,0.8365245316619246,0.5277869844803755,1,0,0.0,1.0
69,0.5070819291071167,0.5233333333333333,0.713410178137002,0.6531502178814064,0.5225749344694433,1,0,0.0,1.0
70,0.4915923816621107,0.4933333333333333,0.7351382531748614,0.7012485017028185,0.4933101206443837,1,0,0.0,1.0
71,0.5070819291071167,0.5266666666666666,0.7214023390040432,0.6531502178814065,0.5256221473301573,1,0,0.0,1.0
72,0.5409736063762096,0.6,0.721942408013068,0.6358102701017689,0.5881947212752419,1,0,0.0,1.0
73,0.48451317817076,0.5366666666666666,0.6433611028732102,0.5624313278217027,0.5328420775103001,1,0,0.0,2.0
74,0.477758858339707,0.5166666666666666,0.6117706602201681,0.5685613695077792,0.5153697397224346,1,0,0.0,2.0
75,0.46677277939850503,0.53,0.5429548090231349,0.43936435784097616,0.5262063667639103,1,0,0.0,2.0
76,0.47394709497984167,0.4933333333333333,0.5788426347821403,0.482424865021746,0.49307485015528674,1,0,0.0,2.0
77,0.4815689869393114,0.5433333333333333,0.6141971578529465,0.522216497136763,0.537980423312518,1,0,0.0,2.0
78,0.488359514155146,0.52,0.6528572039732444,0.5913302354167447,0.5187343805662058,1,0,0.0,2.0
79,0.4916813477608396,0.5333333333333333,0.6857355186591004,0.7404408132431124,0.530556534295167,1,0,1.0,2.0
80,0.5086620121697456,0.5466666666666666,0.6878283914367161,0.7631460100426494,0.5431195655802873,1,0,1.0,2.0
81,0.4953693374518887,0.5800000000000001,0.6936286995645868,0.6461422615017098,0.5664590939923022,1,0,1.0,2.0
82,0.5190322313179698,0.5466666666666666,0.7180738168837222,0.8067444016298753,0.5440874527007883,1,0,1.0,2.0
83,0.49965207665734657,0.5433333333333333,0.7317193158881874,0.8054000496445473,0.5395476244214145,1,0,1.0,2.0
84,0.5362906473564704,0.5966666666666667,0.7157413127191254,0.6756675333669901,0.5849939696000288,1,0,1.0,2.0
85,0.4996520766573467,0.54,0.7450134626605569,0.8054000496445473,0.5367721661325878,1,0,1.0,2.0
86,0.5362906473564704,0.6366666666666667,0.7226788848756983,0.6756675333669901,0.6092305547218797,1,0,1.0,2.0
87,0.4996520766573467,0.5366666666666666,0.717626871404746,0.6537047052141769,0.5339522633993165,1,0,1.0,2.0
88,0.5362906473564704,0.5633333333333334,0.7290241042551834,0.6756675333669901,0.5599079264429307,1,0,1.0,2.0
89,0.47525414644553365,0.51,0.6888912726963825,0.7094890196999757,0.5093050829289107,1,0,1.0,3.0
90,0.4781730086956367,0.5800000000000001,0.6726375235247744,0.6241597982348779,0.5637076813913019,1,0,1.0,3.0
91,0.48019727423647063,0.56,0.6951715372154404,0.6504982983300067,0.5504236729083765,1,0,1.0,3.0
92,0.48126985560108504,0.5266666666666666,0.7556125002287003,0.8315036982590366,0.5242455034098356,1,0,1.0,3.0
93,0.48158651042352774,0.4933333333333333,0.7403203878523497,0.7325831398416737,0.49317670902786925,1,0,2.0,3.0
94,0.5001298807189491,0.5466666666666666,0.7309817719457574,0.6929938129341353,0.5423232333115463,1,0,2.0,3.0
95,0.48561390045020714,0.5366666666666666,0.7832360183649854,0.8453448885364808,0.5329227971441263,1,0,2.0,3.0
96,0.4738039652501309,0.5266666666666666,0.7628824619255963,0.7562670592352136,0.5238473225911181,1,0,2.0,3.0
97,0.4902907739254213,0.5,0.7624541670469778,0.7555201588880844,0.5,1,0,2.0,3.0
98,0.5303011390800669,0.5366666666666666,0.7720091110066785,0.7439797262220516,0.5361998613103159,1,0,2.0,3.0
99,0.4636475376264806,0.5166666666666666,0.6908242039727175,0.658041765199393,0.5148993623653271,1,0,2.0,4.0
100,0.4659682366678921,0.5733333333333333,0.7097741341543873,0.6718151090919363,0.5575864524890686,1,0,2.0,4.0
101,0.46757766893898,0.4633333333333334,0.7256678096441165,0.6800027886702621,0.4636445846110808,1,0,2.0,4.0
102,0.468430445922412,0.55,0.7481399106218725,0.7276182648263683,0.5418430445922412,1,0,2.0,4.0
103,0.4679157900302269,0.5066666666666666,0.7364634907729395,0.7433813153782651,0.5061499883115141,1,0,2.0,4.0
104,0.46634906914698304,0.5366666666666666,0.7077703466053129,0.7259285929553304,0.5315100428485565,1,0,2.0,4.0
105,0.4615796409459946,0.5333333333333333,0.6715338608990897,0.6896069535318169,0.528549753840844,1,0,2.0,4.0
106,0.45182992562392976,0.52,0.6274094904736226,0.6501001482560369,0.5172731970249572,1,0,2.0,4.0
107,0.4615796409459946,0.48,0.6386003058780831,0.5874702466659778,0.47926318563783976,1,0,2.0,4.0
108,0.46634906914698304,0.4766666666666667,0.6587454321362828,0.5976026647043295,0.47618517878241473,1,0,2.0,4.0
109,0.4686822085887985,0.5166666666666666,0.6790767361671222,0.6265424841697207,0.5150671847307376,1,0,3.0,4.0
110,0.4891776529953399,0.48,0.681985598794377,0.6226629998135089,0.4803671061198136,1,0,3.0,4.0
111,0.5242826848069593,0.5533333333333333,0.6970274108469503,0.6372803993756935,0.5502345974905201,1,0,3.0,4.0
112,0.573706705771751,0.6266666666666667,0.7166280537050342,0.648056600914668,0.6132501432399547,1,0,3.0,4.0
113,0.4488547870459564,0.4666666666666667,0.59095309397762,0.573832183808094,0.46547920802528603,1,0,3.0,5.0
114,0.4502573462119651,0.4733333333333334,0.6287053878639663,0.6864365803314526,0.47210261402019377,1,0,3.0,5.0
115,0.4512300376052064,0.51,0.6372518598839777,0.664421115955588,0.5088246007521041,1,0,3.0,5.0
116,0.4517454298009762,0.52,0.6559389270574898,0.6957384984440429,0.517269817192039,1,0,3.0,5.0
117,0.4514343875994482,0.53,0.6235744925497976,0.6489169704426136,0.5252860632559669,1,0,3.0,5.0
118,0.45189758741775377,0.52,0.6475934739465428,0.7137097071055181,0.5172759034967102,1,0,4.0,5.0
119,0.4748769356082838,0.4866666666666667,0.6433224243180118,0.6531182968054041,0.48635227383844315,1,0,4.0,5.0
120,0.45688841682188785,0.49,0.6742086696854835,0.7736532144403925,0.4893377683364377,1,0,4.0,5.0
121,0.48891059594575326,0.5,0.6897226344614851,0.7803001300931648,0.5,1,0,4.0,5.0
122,0.5462950954593182,0.6266666666666667,0.7065395644654882,0.7227900740298129,0.6063058686274718,1,0,4.0,5.0
123,0.42966722176596195,0.4833333333333333,0.5791054408954887,0.6370234539900536,0.4815444629477542,1,1,0.0,0.0
124,0.4088786504115265,0.4633333333333334,0.533529076615668,0.6150375408458537,0.45933998991906755,1,1,0.0,0.0
125,0.3750654920643842,0.5133333333333333,0.4471814062098095,0.4344482348241274,0.5096461908994947,1,1,0.0,0.0
126,0.3971467341601709,0.42333333333333334,0.5135532757758428,0.6136511485258129,0.41931805479344847,1,1,0.0,0.0
127,0.34919200626026126,0.39,0.4150876542876789,0.41009281874442105,0.3810222413772575,1,1,0.0,0.0
128,0.37788151248843793,0.45333333333333337,0.48612407524638124,0.598538947703042,0.44629116338780983,1,1,0.0,0.0
129,0.42060553516730825,0.5066666666666666,0.5388469786166507,0.6326590429883222,0.5055191849133419,1,1,0.0,0.0
130,0.4415055462848758,0.5133333333333333,0.5578034452676685,0.5732510765483793,0.5114179256787078,1,1,0.0,0.0
131,0.45172954761540773,0.45666666666666667,0.6017869005764798,0.6963873559868454,0.4562387830155576,1,1,1.0,0.0
132,0.4729412914814387,0.52,0.6056290530999904,0.6886927644157643,0.5181176516592575,1,1,1.0,0.0
133,0.45633647528462573,0.5166666666666666,0.6046015283336721,0.636921775696158,0.5146556602872653,1,1,1.0,0.0
134,0.48589546259687333,0.5333333333333333,0.6188233319353482,0.651416690784145,0.5301708086175693,1,1,1.0,0.0
135,0.5388658643449847,0.53,0.6511604306930245,0.7070027301564706,0.5305319518606991,1,1,1.0,0.0
136,0.43120917348015064,0.5233333333333333,0.5218455502776663,0.5241205501729346,0.5190342058735181,1,1,1.0,1.0
137,0.4087283406486535,0.49,0.470837059773869,0.47430590119787974,0.48837456681297303,1,1,1.0,1.0
138,0.42661576747706886,0.5366666666666666,0.5284760287502746,0.6310036390157296,0.5285962673927628,1,1,1.0,1.0
139,0.4415723295363889,0.51,0.5557179803712835,0.644729539012595,0.5086314465907278,1,1,1.0,1.0
140,0.4214098343085202,0.44333333333333336,0.4881242115025125,0.49366816338513875,0.4408486701105212,1,1,1.0,1.0
141,0.44401117848459415,0.5166666666666666,0.5511827420189996,0.6590868100108189,0.5142448170605975,1,1,1.0,1.0
142,0.45506744881996053,0.4666666666666667,0.55021901045126,0.5491496167938064,0.4658933854768863,1,1,2.0,1.0
143,0.47805741107124633,0.47,0.5595782809236034,0.5533696639115226,0.4704834446642748,1,1,2.0,1.0
144,0.5174351059467837,0.5633333333333334,0.5839779471259569,0.5757496684473865,0.5575195578643704,1,1,2.0,1.0
145,0.5728745662360503,0.6333333333333333,0.6166837319108878,0.6129303353416486,0.6172109954407244,1,1,2.0,1.0
146,0.4328268150591824,0.5033333333333334,0.472292262947438,0.48396063601548667,0.5028632898781724,1,1,2.0,2.0
147,0.44484166957896554,0.4933333333333333,0.500400841575297,0.5191529204159747,0.4926867778166084,1,1,2.0,2.0
148,0.4278084000454847,0.4766666666666667,0.46244914908374013,0.4969535804285601,0.4743866142243448,1,1,2.0,2.0
149,0.44414883142503947,0.4933333333333333,0.4884094950343493,0.5058329321497547,0.49267753997455604,1,1,2.0,2.0
150,0.4221207832409124,0.4666666666666667,0.44493636647037016,0.48332351519724837,0.46369694110494974,1,1,2.0,2.0
151,0.44681333705976944,0.5533333333333333,0.48385741460389387,0.5199339250944702,0.5419712003974865,1,1,2.0,2.0
152,0.45889259872513866,0.56,0.506635314425648,0.5269364543439923,0.5478671118470166,1,1,3.0,2.0
153,0.4840879055094175,0.5,0.5186012991055232,0.529721291572154,0.5,1,1,3.0,2.0
154,0.46436470685033693,0.5533333333333333,0.5318805713684902,0.5781043853523267,0.5438433465084804,1,1,3.0,2.0
155,0.499474868384832,0.5866666666666667,0.5627500433059528,0.6485125585792908,0.5715534216311486,1,1,3.0,2.0
156,0.4707192831825785,0.5333333333333333,0.5482522556937695,0.5885888609411158,0.529159063323283,1,1,3.0,2.0
157,0.5250822931727972,0.5700000000000001,0.588164374902511,0.6229555511021787,0.5637115210441916,1,1,3.0,2.0
158,0.4707192831825785,0.5266666666666666,0.5572710595821417,0.5885888609411158,0.523682806214182,1,1,3.0,2.0
159,0.5250822931727972,0.5733333333333333,0.5978899789288192,0.627286871186281,0.566256514109788,1,1,3.0,2.0
160,0.43451850082298804,0.4633333333333334,0.48776383243511057,0.5071915713458195,0.4612202456159081,1,1,3.0,3.0
