point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
63,0.22081450491934707,0.32999999999999996,0.17277731809645736,0.4326297344311075,0.29287693167257794,0,1,0.0,0.0
64,0.12508136388807045,0.22666666666666668,0.08965395251198327,0.3188493193091122,0.17113336781436742,0,1,0.0,1.0
65,0.13252254133424812,0.2433333333333333,0.10492140885492351,0.32837695022348923,0.18645046010713623,0,1,0.0,1.0
66,0.13781450232456716,0.20333333333333337,0.11901263708132936,0.3344848118216944,0.16445882693479874,0,1,0.0,1.0
67,0.1322454853735816,0.2366666666666667,0.09979180094035434,0.299732438217436,0.1816715111856419,0,1,0.0,1.0
68,0.13898661948690316,0.2833333333333333,0.11522814694579653,0.33036411364368423,0.22078309066654692,0,1,0.0,1.0
69,0.133961576701342,0.2733333333333333,0.09885999599868578,0.33761709924091077,0.2101514703268306,0,1,0.0,1.0
70,0.11924729280033675,0.19999999999999996,0.07603462703569053,0.3103229978592936,0.15154837568020202,0,1,0.0,1.0
71,0.133961576701342,0.2566666666666667,0.09083575470574479,0.3156861294410078,0.1969501895502087,0,1,0.0,1.0
72,0.1415927116148482,0.2833333333333333,0.1095991900092037,0.3385821367248236,0.22191239725532308,0,1,1.0,1.0
73,0.15807741955653154,0.2666666666666667,0.11410333687244179,0.3573781709483348,0.21599168468193697,0,1,1.0,1.0
74,0.18768226364427087,0.32999999999999996,0.136072387650628,0.40596999578607285,0.28161196963905205,0,1,1.0,1.0
75,0.16887433613164382,0.2833333333333333,0.13507595337972123,0.37867608804902453,0.2337344345459345,0,1,1.0,1.0
76,0.21319755086193537,0.32333333333333336,0.15831556655464873,0.37411537045277066,0.2844186901934394,0,1,1.0,1.0
77,0.12690324138064357,0.22666666666666668,0.08926430820978093,0.31429129129667155,0.1721293275103074,0,1,1.0,2.0
78,0.11133368266709254,0.24,0.0682764027338082,0.2885813215928852,0.17309351498688813,0,1,1.0,2.0
79,0.12390529721211596,0.26,0.07995728649212497,0.2650188515273234,0.19467454266181566,0,1,1.0,2.0
80,0.1346772959496707,0.2366666666666667,0.09542377408921987,0.29209559038919153,0.18295226475571547,0,1,1.0,2.0
81,0.1419923511954646,0.24,0.1143010413042006,0.3407231964192001,0.1890360226216416,0,1,1.0,2.0
82,0.14482031865184153,0.27,0.11873919660997423,0.3275866216268051,0.21241734657984712,0,1,2.0,2.0
83,0.13699350010634626,0.15666666666666662,0.12383953120553715,0.3021382801160579,0.1431577589619133,0,1,2.0,2.0
84,0.14897321499151384,0.25,0.13523174316102238,0.3413048536558967,0.19948660749575692,0,1,2.0,2.0
85,0.13780514322971216,0.2633333333333333,0.13692681709338217,0.3240410429891205,0.20391665668428596,0,1,2.0,2.0
86,0.1539113479071199,0.22666666666666668,0.14757045322798112,0.34849678913995885,0.18689375907811445,0,1,2.0,2.0
87,0.19510505381037668,0.2566666666666667,0.17791075527133193,0.38148418849948296,0.22670668174327224,0,1,2.0,2.0
88,0.12859428438316012,0.22999999999999998,0.10958299129857785,0.25363792647597616,0.17524091356690646,0,1,2.0,3.0
89,0.13743667085382472,0.2366666666666667,0.12849057190655577,0.32040737243784123,0.18440553553856992,0,1,2.0,3.0
90,0.12531131578220345,0.22999999999999998,0.10152905966500458,0.2515844089881465,0.17346811052238986,0,1,2.0,3.0
91,0.1025661303505695,0.18666666666666665,0.07780548525384878,0.26164283520023435,0.1339636639085791,0,1,2.0,3.0
92,0.12166163002459862,0.19333333333333336,0.0999225980044699,0.2943604723310185,0.1493746886373094,0,1,2.0,3.0
93,0.08794711148398182,0.14,0.06300925237071342,0.2096984049577275,0.1025219202684669,0,1,2.0,3.0
94,0.12166163002459862,0.2666666666666667,0.09718794840435407,0.2973220771416982,0.19899764956703495,0,1,2.0,3.0
95,0.13914668340934244,0.23333333333333328,0.11978125376602466,0.3287376149296226,0.18310045337387149,0,1,2.0,3.0
96,0.14821479723985798,0.2566666666666667,0.13451516149048282,0.33224845261611335,0.20388675687895313,0,1,3.0,3.0
97,0.13944730395246774,0.17333333333333334,0.13746729182154704,0.31857240537504605,0.15119446080450114,0,1,3.0,3.0
98,0.15286681396538426,0.2466666666666667,0.14604267048239628,0.338442508938815,0.1991414079646836,0,1,3.0,3.0
99,0.18197201609189162,0.30000000000000004,0.16487080708077273,0.3681268531390065,0.25278880643675666,0,1,3.0,3.0
100,0.23681583446330134,0.33666666666666667,0.20412134582908537,0.39268577928444004,0.30404872814690065,0,1,3.0,3.0
101,0.13003861930693472,0.20333333333333337,0.10343394375290083,0.23572256200609087,0.15984513634433684,0,1,3.0,4.0
102,0.13982552863087716,0.2533333333333333,0.1194733723564455,0.2662824101240713,0.1973361496801216,0,1,3.0,4.0
103,0.14678570969532645,0.22333333333333338,0.13277637658414543,0.29289391000090936,0.18097698158696957,0,1,3.0,4.0
104,0.13946113447628072,0.19333333333333336,0.12157738290992681,0.31419188958274114,0.16029171803434109,0,1,3.0,4.0
105,0.12236543517202136,0.2366666666666667,0.09849972142183883,0.287187209947112,0.1764680180794868,0,1,3.0,4.0
106,0.14171820069165808,0.2466666666666667,0.12051926056111784,0.32359723090836434,0.193492777239329,0,1,3.0,4.0
